filename	model	feature_selection_method	num_landmarks
GNN_all_970.pkl	GNN	all	970
GNN_greedy_1.pkl	GNN	greedy	1
GNN_greedy_10.pkl	GNN	greedy	10
GNN_greedy_108.pkl	GNN	greedy	108
GNN_LASSO_1.pkl	GNN	LASSO	1
GNN_LASSO_10.pkl	GNN	LASSO	10
GNN_LASSO_108.pkl	GNN	LASSO	108
GNN_random_1.pkl	GNN	random	1
GNN_random_10.pkl	GNN	random	10
GNN_random_108.pkl	GNN	random	108
GNN_random_324.pkl	GNN	random	324
GNN_random_486.pkl	GNN	random	486
GT.pkl	GT	all	978
KNR_all_970.pkl	KNR	all	970
KNR_greedy_108.pkl	KNR	greedy	108
KNR_LASSO_108.pkl	KNR	LASSO	108
KNR_random_108.pkl	KNR	random	108
KNR_random_324.pkl	KNR	random	324
KNR_random_486.pkl	KNR	random	486
LR_all_970.pkl	LR	all	970
LR_greedy_108.pkl	LR	greedy	108
LR_LASSO_108.pkl	LR	LASSO	108
LR_random_108.pkl	LR	random	108
LR_random_324.pkl	LR	random	324
LR_random_486.pkl	LR	random	486
MLP_all_970.pkl	MLP	all	970
MLP_greedy_108.pkl	MLP	greedy	108
MLP_LASSO_108.pkl	MLP	LASSO	108
MLP_random_108.pkl	MLP	random	108
MLP_random_324.pkl	MLP	random	324
MLP_random_486.pkl	MLP	random	486
RNAseqGNN_all_970.pkl	GNN	all	970
RNAseqKNR_all_970.pkl	KNR	all	970
RNAseqLR_all_970.pkl	LR	all	970
SwinIR_all_970.pkl	SwinIR	all	970
SwinIR_random_108.pkl	SwinIR	random	108
SwinIR_random_324.pkl	SwinIR	random	324
SwinIR_random_486.pkl	SwinIR	random	486
GNN_order_970_withorganfeature.pkl	GNN	all	970
